label,mineral
0,Actinolite
1,Adamite
2,Aenigmatite
3,Afwillite
4,Agardite-(Y)
5,Akermanite
6,Albite
7,Alluaudite
8,Almandine
9,Alum-(K)
10,Amblygonite
11,Amesite
12,Analcime
13,Anatase
14,Andalusite
15,Andradite
16,Anglesite
17,Anhydrite
18,Ankerite
19,Annite
20,Anorthite
21,Antlerite
22,Aragonite
23,Arfvedsonite
24,Argentopyrite
25,Armalcolite
26,Arsenolite
27,Arsenopyrite
28,Arsentsumebite
29,Astrophyllite
30,Atacamite
31,Augelite
32,Augite
33,Axinite-(Fe)
34,Axinite-(Mn)
35,Azurite
36,Babingtonite
37,Baddeleyite
38,Barrerite
39,Barysilite
40,Baryte
41,Barytocalcite
42,Bastnasite-(Ce)
43,Bavenite
44,Behoite
45,Benitoite
46,Bertrandite
47,Beryl
48,Beryllonite
49,Beudantite
50,Bikitaite
51,Blodite
52,Bobdownsite
53,Boleite
54,Bournonite
55,Braunite
56,Brazilianite
57,Brookite
58,Brucite
59,Bustamite
60,Calcite
61,Cancrinite
62,Carnotite
63,Carrollite
64,Cassiterite
65,Catapleiite
66,Celestine
67,Celsian
68,Cerussite
69,Chabazite-Ca
70,Chalcanthite
71,Chalcocite
72,Chalcophanite
73,Chalcopyrite
74,Chambersite
75,Chenevixite
76,Chloritoid
77,Chondrodite
78,Chrysoberyl
79,Clinoatacamite
80,Clinochlore
81,Clinoenstatite
82,Clinohumite
83,Clinoptilolite-Ca
84,Clinozoisite
85,Clintonite
86,Cobaltite
87,Colemanite
88,Collinsite
89,Columbite-(Fe)
90,Conichalcite
91,Coquimbite
92,Cordierite
93,Corkite
94,Cornetite
95,Correianevesite
96,Corundum
97,Covellite
98,Creedite
99,Cristobalite
100,Crocoite
101,Cryolite
102,Cuprite
103,Curite
104,Cuspidine
105,Danburite
106,Datolite
107,Dawsonite
108,Descloizite
109,Diaboleite
110,Diamond
111,Diaspore
112,Diopside
113,Dioptase
114,Dolomite
115,Dravite
116,Duftite
117,Edenite
118,Edingtonite
119,Elbaite
120,Elpidite
121,Enargite
122,Enstatite
123,Eosphorite
124,Epididymite
125,Epidote
126,Erionite-Ca
127,Erythrite
128,Euclase
129,Eudialyte
130,Fayalite
131,Ferberite
132,Ferrierite-Mg
133,Ferro-actinolite
134,Fizelyite
135,Fluor-buergerite
136,Fluor-uvite
137,Fluorapatite
138,Fluorapophyllite-(K)
139,Fluorcalciomicrolite
140,Fluorite
141,Fluoro-richterite
142,Fluorophlogopite
143,Foitite
144,Forsterite
145,Gadolinite-(Y)
146,Gahnite
147,Gaspeite
148,Gaylussite
149,Gehlenite
150,Glauberite
151,Glaucophane
152,Gmelinite-Na
153,Goethite
154,Gormanite
155,Gotzenite
156,Greenockite
157,Greifensteinite
158,Grossular
159,Grunerite
160,Gypsum
161,Hardystonite
162,Hastingsite
163,Hausmannite
164,Hauyne
165,Hedenbergite
166,Hematite
167,Hemihedrite
168,Hemimorphite
169,Heterosite
170,Heulandite-Ca
171,Hubnerite
172,Hulsite
173,Humite
174,Huntite
175,Hydrocerussite
176,Hydrotalcite
177,Hydroxyapophyllite-(K)
178,Hydroxylapatite
179,Hydroxylbastnasite-(Ce)
180,Hydroxylherderite
181,Ilvaite
182,Inderite
183,Inyoite
184,Jacobsite
185,Jadeite
186,Jamesonite
187,Jarosite
188,Jinshajiangite
189,Kalsilite
190,Kanoite
191,Kinoite
192,Kornerupine
193,Krupkaite
194,Kryzhanovskite
195,Kurnakovite
196,Kutnohorite
197,Kyanite
198,Lamprophyllite
199,Langite
200,Laumontite
201,Laverovite
202,Lawsonite
203,Lazulite
204,Lefontite
205,Legrandite
206,Leucite
207,Leucophanite
208,Lindgrenite
209,Livingstonite
210,Ludlamite
211,Magnesio-fluoro-hastingsite
212,Magnesio-hastingsite
213,Magnesiochromite
214,Magnesiotaaffeite-2N2S
215,Magnesite
216,Magnetite
217,Malayaite
218,Manganite
219,Marialite
220,Marsturite
221,Mascagnite
222,Meionite
223,Mesolite
224,Metatorbernite
225,Metazeunerite
226,Miargyrite
227,Microcline
228,Milarite
229,Millerite
230,Mimetite
231,Moissanite
232,Molybdofornacite
233,Monazite-(Ce)
234,Montebrasite
235,Montgomeryite
236,Monticellite
237,Mottramite
238,Muscovite
239,Narsarsukite
240,Natrojarosite
241,Natrolite
242,Nepheline
243,Nickelskutterudite
244,Nitratine
245,Olivenite
246,Olmiite
247,Opal
248,Orthoclase
249,Orthoserpierite
250,Osarizawaite
251,Painite
252,Parabutlerite
253,Paralaurionite
254,Paravauxite
255,Pargasite
256,Pectolite
257,Pentahydrite
258,Perovskite
259,Petalite
260,Pharmacosiderite
261,Phenakite
262,Philipsbornite
263,Phillipsite-Ca
264,Phlogopite
265,Phosphosiderite
266,Piemontite
267,Plumbogummite
268,Pollucite
269,Polylithionite
270,Powellite
271,Prehnite
272,Pseudobrookite
273,Pseudomalachite
274,Pyrargyrite
275,Pyrite
276,Pyrochlore
277,Pyrolusite
278,Pyromorphite
279,Pyrope
280,Pyrophyllite
281,Pyrosmalite-(Fe)
282,Pyroxmangite
283,Quartz
284,Retgersite
285,Rhodizite
286,Rhodochrosite
287,Rhodonite
288,Richterite
289,Riebeckite
290,Ruizite
291,Rutherfordine
292,Rutile
293,Sanbornite
294,Scheelite
295,Scholzite
296,Schorlomite
297,Scolecite
298,Scottyite
299,Senegalite
300,Serandite
301,Shattuckite
302,Shortite
303,Siderite
304,Silicon
305,Sillimanite
306,Sincosite
307,Sinhalite
308,Skutterudite
309,Smithsonite
310,Sodalite
311,Spessartine
312,Sphalerite
313,Spinel
314,Spodumene
315,Staurolite
316,Stellerite
317,Stephanite
318,Stibiotantalite
319,Stibnite
320,Stichtite
321,Stilbite-Ca
322,Stilpnomelane
323,Stolzite
324,Strengite
325,Strontianite
326,Sulphur
327,Szaibelyite
328,Talc
329,Talmessite
330,Tantalite-(Mn)
331,Tapiolite-(Fe)
332,Tellurite
333,Tennantite-(Zn)
334,Tephroite
335,Tetrahedrite-(Zn)
336,Thenardite
337,Thomsonite-Ca
338,Tilleyite
339,Titanite
340,Topaz
341,Tourmaline
342,Tremolite
343,Tridymite
344,Trilithionite
345,Triphylite
346,Triplite
347,Trona
348,Tsumcorite
349,Tugtupite
350,Tunellite
351,Turquoise
352,Ulexite
353,Uranophane
354,Valentinite
355,Vanadinite
356,Variscite
357,Varulite
358,Vayrynenite
359,Vesuvianite
360,Veszelyite
361,Vivianite
362,Volborthite
363,Vuonnemite
364,Wagnerite
365,Wavellite
366,Weloganite
367,Wendwilsonite
368,Whewellite
369,Whitlockite
370,Witherite
371,Wolfeite
372,Wollastonite
373,Wulfenite
374,Xenotime-(Y)
375,Yugawaralite
376,Zincite
377,Zoisite
