PROVIDER,ICEE/ARC/NASA
WEBSITE,https://www.astrochemistry.org/ramdb/
VERSION,1.00
LINK,https://www.astrochemistry.org/ramdb/raman/1.00/default/details/CalciumCarbonate_532_microimaging_homogeneous_293K_none_0_solid_crystals_09082022
REFERENCES,"Mattioda, A.L., Gavilan, L., Ricketts, C.L., Najeeb, P.K., Ricca, A., Boersma, C., ""The NASA Raman Spectroscopic Database: Ramdb version 1.00"", 2024, Icarus, 408, 115769 doi:10.1016/j.icarus.2023.115769"
NOTE,"PLEASE CITE THE APPROPRIATE REFERENCES WHEN USING THESE DATA"
TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/09/08
TIME,16:45:32
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,1
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   -2.3980
LASTX, 3629.6020
NPOINTS,    3633
FIRSTY,  2175.11670
MAXY, 20095.12500
MINY,  2172.92041
XYDATA,
-2.3980,2175.12
-1.3980,2174.44
-0.3980,2173.92
0.6020,2173.75
1.6020,2173.96
2.6020,2174.19
3.6020,2174.06
4.6020,2173.47
5.6020,2172.92
6.6020,2172.97
7.6020,2173.72
8.6020,2174.64
9.6020,2175.18
10.6020,2175.18
11.6020,2174.87
12.6020,2174.49
13.6020,2174.24
14.6020,2174.31
15.6020,2174.82
16.6020,2175.53
17.6020,2176.01
18.6020,2175.95
19.6020,2175.56
20.6020,2175.26
21.6020,2175.38
22.6020,2175.93
23.6020,2176.83
24.6020,2177.89
25.6020,2178.65
26.6020,2178.61
27.6020,2177.76
28.6020,2176.99
29.6020,2177.22
30.6020,2178.51
31.6020,2179.92
32.6020,2180.49
33.6020,2180.07
34.6020,2179.1
35.6020,2178.07
36.6020,2177.4
37.6020,2177.51
38.6020,2178.68
39.6020,2180.32
40.6020,2181.53
41.6020,2181.68
42.6020,2181.27
43.6020,2181.08
44.6020,2181.59
45.6020,2182.39
46.6020,2182.96
47.6020,2183.02
48.6020,2182.71
49.6020,2182.22
50.6020,2181.86
51.6020,2182.06
52.6020,2183.22
53.6020,2185.03
54.6020,2186.63
55.6020,2187.2
56.6020,2186.92
57.6020,2186.52
58.6020,2186.64
59.6020,2187.25
60.6020,2188.07
61.6020,2188.84
62.6020,2189.32
63.6020,2189.27
64.6020,2188.68
65.6020,2188.13
66.6020,2188.32
67.6020,2189.35
68.6020,2190.41
69.6020,2190.63
70.6020,2189.98
71.6020,2189.35
72.6020,2189.64
73.6020,2190.83
74.6020,2192.14
75.6020,2192.89
76.6020,2193.02
77.6020,2192.85
78.6020,2192.66
79.6020,2192.56
80.6020,2192.61
81.6020,2192.85
82.6020,2193.33
83.6020,2194.1
84.6020,2195.07
85.6020,2195.86
86.6020,2196.07
87.6020,2195.68
88.6020,2195.16
89.6020,2195.01
90.6020,2195.43
91.6020,2196.34
92.6020,2197.61
93.6020,2198.95
