PROVIDER,ICEE/ARC/NASA
WEBSITE,https://www.astrochemistry.org/ramdb/
VERSION,1.00
LINK,https://www.astrochemistry.org/ramdb/raman/1.00/default/details/Diamond_405_microimaging_homogeneous_293K_none_0_solid_microcrystals_06282022
REFERENCES,"Mattioda, A.L., Gavilan, L., Ricketts, C.L., Najeeb, P.K., Ricca, A., Boersma, C., ""The NASA Raman Spectroscopic Database: Ramdb version 1.00"", 2024, Icarus, 408, 115769 doi:10.1016/j.icarus.2023.115769"
NOTE,"PLEASE CITE THE APPROPRIATE REFERENCES WHEN USING THESE DATA"
TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/06/28
TIME,11:39:45
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.5
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   -3.2589
LASTX, 5990.7411
NPOINTS,   11989
FIRSTY,  1360.03333
MAXY, 16094.18652
MINY,  1358.82556
XYDATA,
-3.2589,1360.03
-2.7589,1360.09
-2.2589,1360.15
-1.7589,1360.2
-1.2589,1360.25
-0.7589,1360.3
-0.2589,1360.34
0.2411,1360.38
0.7411,1360.4
1.2411,1360.42
1.7411,1360.43
2.2411,1360.43
2.7411,1360.42
3.2411,1360.4
3.7411,1360.38
4.2411,1360.35
4.7411,1360.31
5.2411,1360.28
5.7411,1360.24
6.2411,1360.21
6.7411,1360.17
7.2411,1360.14
7.7411,1360.12
8.2411,1360.09
8.7411,1360.07
9.2411,1360.06
9.7411,1360.05
10.2411,1360.04
10.7411,1360.03
11.2411,1360.03
11.7411,1360.03
12.2411,1360.04
12.7411,1360.04
13.2411,1360.05
13.7411,1360.05
14.2411,1360.05
14.7411,1360.04
15.2411,1360.03
15.7411,1360
16.2411,1359.97
16.7411,1359.92
17.2411,1359.85
17.7411,1359.78
18.2411,1359.69
18.7411,1359.61
19.2411,1359.51
19.7411,1359.43
20.2411,1359.34
20.7411,1359.27
21.2411,1359.22
21.7411,1359.18
22.2411,1359.16
22.7411,1359.16
23.2411,1359.18
23.7411,1359.22
24.2411,1359.27
24.7411,1359.34
25.2411,1359.4
25.7411,1359.48
26.2411,1359.56
26.7411,1359.63
27.2411,1359.71
27.7411,1359.78
28.2411,1359.84
28.7411,1359.9
29.2411,1359.95
29.7411,1359.99
30.2411,1360.03
30.7411,1360.05
31.2411,1360.07
31.7411,1360.07
32.2411,1360.06
32.7411,1360.04
33.2411,1360.01
33.7411,1359.97
34.2411,1359.91
34.7411,1359.85
35.2411,1359.78
35.7411,1359.7
36.2411,1359.61
36.7411,1359.52
37.2411,1359.42
37.7411,1359.31
38.2411,1359.21
38.7411,1359.11
39.2411,1359.03
39.7411,1358.96
40.2411,1358.91
40.7411,1358.89
41.2411,1358.9
41.7411,1358.95
42.2411,1359.04
42.7411,1359.18
43.2411,1359.34
43.7411,1359.52
44.2411,1359.7
44.7411,1359.89
