PROVIDER,ICEE/ARC/NASA
WEBSITE,https://www.astrochemistry.org/ramdb/
VERSION,1.00
LINK,https://www.astrochemistry.org/ramdb/raman/1.00/default/details/Glycine_405_microimaging_homogeneous_293K_none_0_solid_microcrystals_06282022
REFERENCES,"Mattioda, A.L., Gavilan, L., Ricketts, C.L., Najeeb, P.K., Ricca, A., Boersma, C., ""The NASA Raman Spectroscopic Database: Ramdb version 1.00"", 2024, Icarus, 408, 115769 doi:10.1016/j.icarus.2023.115769"
NOTE,"PLEASE CITE THE APPROPRIATE REFERENCES WHEN USING THESE DATA"
TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/06/28
TIME,15:25:46
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.5
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   -0.9146
LASTX, 5992.0854
NPOINTS,   11987
FIRSTY,  1361.69995
MAXY,  3823.96436
MINY,  1359.70789
XYDATA,
-0.9146,1361.7
-0.4146,1361.47
0.0854,1361.24
0.5854,1361.03
1.0854,1360.84
1.5854,1360.68
2.0854,1360.55
2.5854,1360.45
3.0854,1360.41
3.5854,1360.42
4.0854,1360.49
4.5854,1360.63
5.0854,1360.82
5.5854,1361.06
6.0854,1361.33
6.5854,1361.62
7.0854,1361.92
7.5854,1362.21
8.0854,1362.5
8.5854,1362.75
9.0854,1362.97
9.5854,1363.14
10.0854,1363.26
10.5854,1363.34
11.0854,1363.38
11.5854,1363.39
12.0854,1363.37
12.5854,1363.33
13.0854,1363.27
13.5854,1363.2
14.0854,1363.12
14.5854,1363.04
15.0854,1362.96
15.5854,1362.87
16.0854,1362.78
16.5854,1362.68
17.0854,1362.58
17.5854,1362.46
18.0854,1362.34
18.5854,1362.2
19.0854,1362.05
19.5854,1361.88
20.0854,1361.7
20.5854,1361.51
21.0854,1361.32
21.5854,1361.13
22.0854,1360.94
22.5854,1360.77
23.0854,1360.6
23.5854,1360.46
24.0854,1360.34
24.5854,1360.24
25.0854,1360.18
25.5854,1360.14
26.0854,1360.13
26.5854,1360.14
27.0854,1360.19
27.5854,1360.26
28.0854,1360.36
28.5854,1360.48
29.0854,1360.63
29.5854,1360.8
30.0854,1361
30.5854,1361.21
31.0854,1361.44
31.5854,1361.66
32.0854,1361.89
32.5854,1362.1
33.0854,1362.3
33.5854,1362.48
34.0854,1362.64
34.5854,1362.76
35.0854,1362.85
35.5854,1362.9
36.0854,1362.92
36.5854,1362.91
37.0854,1362.87
37.5854,1362.79
38.0854,1362.69
38.5854,1362.56
39.0854,1362.4
39.5854,1362.21
40.0854,1362
40.5854,1361.78
41.0854,1361.56
41.5854,1361.35
42.0854,1361.17
42.5854,1361.01
43.0854,1360.91
43.5854,1360.85
44.0854,1360.86
44.5854,1360.95
45.0854,1361.11
45.5854,1361.33
46.0854,1361.61
46.5854,1361.92
47.0854,1362.25
